Temperature,Partition Function No Spliting,Partition Function SOC Spliting,Partition Function SOC + CFS Spliting,Internal Energy No Spliting,Internal Energy SOC Spliting,Internal Energy SOC + CFS Spliting,Free Energy No Spliting,Free Energy SOC Spliting,Free Energy SOC + CFS Spliting,Entropy No Spliting,Entropy SOC Spliting,Entropy SOC + CFS Spliting
1355.62095350206,14.0,6.728009160858611,5.248730729302655,-0.0,0.03029761620013005,0.04675095928504902,-0.0,0.03029761620013005,0.04675095928504902,0.00022741636507200846,0.0001866200480513669,0.00017736093629942828
1356.6215420835786,14.0,6.729297305069064,5.250281202214934,2.842170943040401e-14,0.030345415031291623,0.04680904888348891,2.842170943040401e-14,0.030345415031291623,0.04680904888348891,0.00022741636507203622,0.00018665529479137966,0.00017740377142799746
1357.622130665097,14.0,6.730585824726796,5.251831769833826,-0.0,0.03039320948994373,0.046867127752221904,-0.0,0.03039320948994373,0.046867127752221904,0.00022741636507200846,0.0001866905123225765,0.00017744656706861206
1358.6227192466156,14.0,6.731874717987544,5.253382431003046,2.842170943040401e-14,0.030440999502332033,0.04692519583019816,2.842170943040401e-14,0.030440999502332033,0.04692519583019816,0.00022741636507200846,0.00018672570063360538,0.00017748932323440048
1359.623307828134,14.0,6.733163983010725,5.254933184568539,-2.842170943040401e-14,0.030488784994759044,0.04698325305622575,-2.842170943040401e-14,0.030488784994759044,0.04698325305622575,0.00022741636507200846,0.00018676085971333634,0.0001775320399385466
1360.6238964096526,14.0,6.7344536179594305,5.2564840293784725,-0.0,0.030536565893982015,0.047041299369652734,-0.0,0.030536565893982015,0.047041299369652734,0.00022741636507200846,0.00018679598955083365,0.0001775747171944425
1361.6244849911711,14.0,6.735743621000427,5.258034964283235,2.842170943040401e-14,0.0305843421267582,0.04709933470979877,2.842170943040401e-14,0.0305843421267582,0.04709933470979877,0.00022741636507203622,0.00018683109013538368,0.00017761735501554965
1362.6250735726896,14.0,6.737033990304154,5.259585988135437,2.842170943040401e-14,0.030632113620271184,0.047157359016182454,2.842170943040401e-14,0.030632113620271184,0.047157359016182454,0.00022741636507200846,0.00018686616145645318,0.00017765995341535723
1363.6256621542084,14.0,6.738324724044711,5.2611370997899005,-0.0,0.030679880301875073,0.047215372228663455,-0.0,0.030679880301875073,0.047215372228663455,0.00022741636507203622,0.00018690120350373096,0.00017770251240767365
1364.626250735727,14.0,6.739615820399866,5.262688298103669,-0.0,0.03072764209923662,0.04727337428724354,-0.0,0.03072764209923662,0.04727337428724354,0.00022741636507200846,0.0001869362162671001,0.00017774503200629344
1365.6268393172454,14.0,6.740907277551047,5.264239581935995,-5.684341886080802e-14,0.030775398940107834,0.04733136513200975,-5.684341886080802e-14,0.030775398940107834,0.04733136513200975,0.00022741636507200846,0.00018697119973666576,0.00017778751222510825
1366.627427898764,14.0,6.742199093683338,5.26579095014834,2.842170943040401e-14,0.030823150752780748,0.04738934470353229,2.842170943040401e-14,0.030823150752780748,0.04738934470353229,0.00022741636507200846,0.00018700615390267183,0.0001778299530782318
